,name,selling_price,km_driven,fuel,transmission
1030,2017 Maruti Baleno,"615,799","44,532 km",Petrol,Manual
1031,-,-,-,-,-
1032,-,-,-,-,-
1033,-,-,-,-,-
1034,2020 Maruti S PRESSO,"402,899","3,606 km",Petrol,Manual
1035,2016 Hyundai Grand i10,"475,599","5,214 km",Petrol,Manual
1036,-,-,-,-,-
1037,-,-,-,-,-
1038,2017 Maruti Vitara Brezza,"768,599","95,064 km",Diesel,Manual
1039,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1040,-,-,-,-,-
1041,-,-,-,-,-
1042,-,-,-,-,-
1043,-,-,-,-,-
1044,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
1045,-,-,-,-,-
1046,2016 Maruti Swift,"497,999","72,625 km",Petrol,Manual
1047,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1048,-,-,-,-,-
1049,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1050,-,-,-,-,-
1051,-,-,-,-,-
1052,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
1053,-,-,-,-,-
1054,-,-,-,-,-
1055,-,-,-,-,-
1056,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1057,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1058,2017 Hyundai Creta,"1,177,199","52,753 km",Diesel,Automatic
1059,-,-,-,-,-
1060,-,-,-,-,-
1061,-,-,-,-,-
1062,-,-,-,-,-
1063,2016 Maruti Ertiga,"768,899","45,759 km",Diesel,Manual
1064,2018 Maruti Baleno,"604,699","31,020 km",Petrol,Manual
1065,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1066,-,-,-,-,-
1067,-,-,-,-,-
1068,-,-,-,-,-
1069,-,-,-,-,-
1070,2016 Maruti Baleno,"619,699","25,529 km",Petrol,Manual
1071,-,-,-,-,-
1072,-,-,-,-,-
1073,-,-,-,-,-
1074,2020 Maruti S PRESSO,"402,899","3,606 km",Petrol,Manual
1075,2017 Hyundai Grand i10,"478,999","78,139 km",Petrol,Manual
1076,-,-,-,-,-
1077,-,-,-,-,-
1078,2018 Maruti Vitara Brezza,"771,299","38,872 km",Diesel,Manual
1079,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1080,-,-,-,-,-
1081,-,-,-,-,-
1082,-,-,-,-,-
1083,-,-,-,-,-
1084,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
1085,-,-,-,-,-
1086,2016 Maruti Swift,"497,999","72,625 km",Petrol,Manual
1087,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1088,-,-,-,-,-
1089,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1090,-,-,-,-,-
1091,-,-,-,-,-
1092,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
1093,-,-,-,-,-
1094,-,-,-,-,-
1095,-,-,-,-,-
1096,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1097,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1098,2017 Hyundai Creta,"1,177,199","52,753 km",Diesel,Automatic
1099,-,-,-,-,-
1100,-,-,-,-,-
1101,-,-,-,-,-
1102,-,-,-,-,-
1103,2016 Maruti Ertiga,"768,899","45,759 km",Diesel,Manual
1104,2018 Maruti Baleno,"604,699","31,020 km",Petrol,Manual
1105,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1106,-,-,-,-,-
1107,-,-,-,-,-
1108,-,-,-,-,-
1109,-,-,-,-,-
1110,2016 Maruti Baleno,"619,699","25,529 km",Petrol,Manual
1111,-,-,-,-,-
1112,-,-,-,-,-
1113,-,-,-,-,-
1114,2020 Maruti S PRESSO,"428,299","25,867 km",Petrol,Manual
1115,2015 Hyundai Grand i10,"460,999","40,792 km",Petrol,Manual
1116,-,-,-,-,-
1117,-,-,-,-,-
1118,2017 Maruti Vitara Brezza,"768,599","95,064 km",Diesel,Manual
1119,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1120,-,-,-,-,-
1121,-,-,-,-,-
1122,-,-,-,-,-
1123,-,-,-,-,-
1124,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
1125,-,-,-,-,-
1126,2015 Maruti Swift,"464,999","26,749 km",Petrol,Manual
1127,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1128,-,-,-,-,-
1129,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1130,-,-,-,-,-
1131,-,-,-,-,-
1132,2014 Maruti Wagon R 1.0,"338,199","45,680 km",Petrol,Manual
1133,-,-,-,-,-
1134,-,-,-,-,-
1135,-,-,-,-,-
1136,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1137,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1138,2017 Hyundai Creta,"1,177,199","52,753 km",Diesel,Automatic
1139,-,-,-,-,-
1140,-,-,-,-,-
1141,-,-,-,-,-
1142,-,-,-,-,-
1143,2017 Maruti Ertiga,"693,399","69,917 km",Diesel,Manual
1144,2018 Maruti Baleno,"604,699","31,020 km",Petrol,Manual
1145,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1146,-,-,-,-,-
1147,-,-,-,-,-
1148,-,-,-,-,-
1149,-,-,-,-,-
1150,2017 Maruti Baleno,"615,799","44,532 km",Petrol,Manual
1151,-,-,-,-,-
1152,-,-,-,-,-
1153,-,-,-,-,-
1154,2020 Maruti S PRESSO,"428,299","25,867 km",Petrol,Manual
1155,2017 Hyundai Grand i10,"478,999","78,139 km",Petrol,Manual
1156,-,-,-,-,-
1157,-,-,-,-,-
1158,2017 Maruti Vitara Brezza,"768,599","95,064 km",Diesel,Manual
1159,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1160,-,-,-,-,-
1161,-,-,-,-,-
1162,-,-,-,-,-
1163,-,-,-,-,-
1164,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
1165,-,-,-,-,-
1166,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
1167,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1168,-,-,-,-,-
1169,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1170,-,-,-,-,-
1171,-,-,-,-,-
1172,2014 Maruti Wagon R 1.0,"338,199","45,680 km",Petrol,Manual
1173,-,-,-,-,-
1174,-,-,-,-,-
1175,-,-,-,-,-
1176,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1177,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1178,2018 Hyundai Creta,"1,154,099","71,967 km",Diesel,Manual
1179,-,-,-,-,-
1180,-,-,-,-,-
1181,-,-,-,-,-
1182,-,-,-,-,-
1183,2016 Maruti Ertiga,"768,899","45,759 km",Diesel,Manual
1184,2017 Maruti Baleno,"556,999","44,103 km",Petrol,Manual
1185,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1186,-,-,-,-,-
1187,-,-,-,-,-
1188,-,-,-,-,-
1189,-,-,-,-,-
1190,2016 Maruti Baleno,"619,699","25,529 km",Petrol,Manual
1191,-,-,-,-,-
1192,-,-,-,-,-
1193,-,-,-,-,-
1194,2020 Maruti S PRESSO,"428,299","25,867 km",Petrol,Manual
1195,2017 Hyundai Grand i10,"478,999","78,139 km",Petrol,Manual
1196,-,-,-,-,-
1197,-,-,-,-,-
1198,2018 Maruti Vitara Brezza,"771,299","38,872 km",Diesel,Manual
1199,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1200,-,-,-,-,-
1201,-,-,-,-,-
1202,-,-,-,-,-
1203,-,-,-,-,-
1204,2015 Maruti Swift,"476,599","60,507 km",Diesel,Manual
1205,-,-,-,-,-
1206,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
1207,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1208,-,-,-,-,-
1209,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1210,-,-,-,-,-
1211,-,-,-,-,-
1212,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
1213,-,-,-,-,-
1214,-,-,-,-,-
1215,-,-,-,-,-
1216,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1217,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1218,2018 Hyundai Creta,"1,154,099","71,967 km",Diesel,Manual
1219,-,-,-,-,-
1220,-,-,-,-,-
1221,-,-,-,-,-
1222,-,-,-,-,-
1223,2017 Maruti Ertiga,"789,299","4,724 km",Petrol,Manual
1224,2018 Maruti Baleno,"604,699","31,020 km",Petrol,Manual
1225,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1226,-,-,-,-,-
1227,-,-,-,-,-
1228,-,-,-,-,-
1229,-,-,-,-,-
1230,2016 Maruti Baleno,"619,699","25,529 km",Petrol,Manual
1231,-,-,-,-,-
1232,-,-,-,-,-
1233,-,-,-,-,-
1234,2020 Maruti S PRESSO,"402,899","3,606 km",Petrol,Manual
1235,2017 Hyundai Grand i10,"478,999","78,139 km",Petrol,Manual
1236,-,-,-,-,-
1237,-,-,-,-,-
1238,2017 Maruti Vitara Brezza,"768,599","95,064 km",Diesel,Manual
1239,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1240,-,-,-,-,-
1241,-,-,-,-,-
1242,-,-,-,-,-
1243,-,-,-,-,-
1244,2015 Maruti Swift Dzire,"578,399","38,769 km",Diesel,Manual
1245,-,-,-,-,-
1246,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
1247,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1248,-,-,-,-,-
1249,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1250,-,-,-,-,-
1251,-,-,-,-,-
1252,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
1253,-,-,-,-,-
1254,-,-,-,-,-
1255,-,-,-,-,-
1256,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1257,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1258,2018 Hyundai Creta,"1,154,099","71,967 km",Diesel,Manual
1259,-,-,-,-,-
1260,-,-,-,-,-
1261,-,-,-,-,-
1262,-,-,-,-,-
1263,2016 Maruti Ertiga,"768,899","45,759 km",Diesel,Manual
1264,2018 Maruti Baleno,"604,699","31,020 km",Petrol,Manual
1265,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1266,-,-,-,-,-
1267,-,-,-,-,-
1268,-,-,-,-,-
1269,-,-,-,-,-
1270,2016 Maruti Baleno,"619,699","25,529 km",Petrol,Manual
1271,-,-,-,-,-
1272,-,-,-,-,-
1273,-,-,-,-,-
1274,2020 Maruti S PRESSO,"402,899","3,606 km",Petrol,Manual
1275,2017 Hyundai Grand i10,"478,999","78,139 km",Petrol,Manual
1276,-,-,-,-,-
1277,-,-,-,-,-
1278,2018 Maruti Vitara Brezza,"771,299","38,872 km",Diesel,Manual
1279,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1280,-,-,-,-,-
1281,-,-,-,-,-
1282,-,-,-,-,-
1283,-,-,-,-,-
1284,2015 Maruti Swift Dzire,"578,399","38,769 km",Diesel,Manual
1285,-,-,-,-,-
1286,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
1287,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1288,-,-,-,-,-
1289,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1290,-,-,-,-,-
1291,-,-,-,-,-
1292,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
1293,-,-,-,-,-
1294,-,-,-,-,-
1295,-,-,-,-,-
1296,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1297,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1298,2017 Hyundai Creta,"1,177,199","52,753 km",Diesel,Automatic
1299,-,-,-,-,-
1300,-,-,-,-,-
1301,-,-,-,-,-
1302,-,-,-,-,-
1303,2016 Maruti Ertiga,"768,899","45,759 km",Diesel,Manual
1304,2017 Maruti Baleno,"556,999","44,103 km",Petrol,Manual
1305,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1306,-,-,-,-,-
1307,-,-,-,-,-
1308,-,-,-,-,-
1309,-,-,-,-,-
1310,2017 Maruti Baleno,"615,799","44,532 km",Petrol,Manual
1311,-,-,-,-,-
1312,-,-,-,-,-
1313,-,-,-,-,-
1314,2020 Maruti S PRESSO,"402,899","3,606 km",Petrol,Manual
1315,2017 Hyundai Grand i10,"478,999","78,139 km",Petrol,Manual
1316,-,-,-,-,-
1317,-,-,-,-,-
1318,2017 Maruti Vitara Brezza,"768,599","95,064 km",Diesel,Manual
1319,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1320,-,-,-,-,-
1321,-,-,-,-,-
1322,-,-,-,-,-
1323,-,-,-,-,-
1324,2015 Maruti Swift Dzire,"578,399","38,769 km",Diesel,Manual
1325,-,-,-,-,-
1326,2015 Maruti Swift,"464,999","26,749 km",Petrol,Manual
1327,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1328,-,-,-,-,-
1329,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1330,-,-,-,-,-
1331,-,-,-,-,-
1332,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
1333,-,-,-,-,-
1334,-,-,-,-,-
1335,-,-,-,-,-
1336,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1337,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1338,2017 Hyundai Creta,"1,177,199","52,753 km",Diesel,Automatic
1339,-,-,-,-,-
1340,-,-,-,-,-
1341,-,-,-,-,-
1342,-,-,-,-,-
1343,2017 Maruti Ertiga,"854,899","62,533 km",Diesel,Manual
1344,2018 Maruti Baleno,"604,699","31,020 km",Petrol,Manual
1345,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1346,-,-,-,-,-
1347,-,-,-,-,-
1348,-,-,-,-,-
1349,-,-,-,-,-
1350,2016 Maruti Baleno,"619,699","25,529 km",Petrol,Manual
1351,-,-,-,-,-
1352,-,-,-,-,-
1353,-,-,-,-,-
1354,2020 Maruti S PRESSO,"428,299","25,867 km",Petrol,Manual
1355,2017 Hyundai Grand i10,"478,999","78,139 km",Petrol,Manual
1356,-,-,-,-,-
1357,-,-,-,-,-
1358,2017 Maruti Vitara Brezza,"768,599","95,064 km",Diesel,Manual
1359,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1360,-,-,-,-,-
1361,-,-,-,-,-
1362,-,-,-,-,-
1363,-,-,-,-,-
1364,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
1365,-,-,-,-,-
1366,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
1367,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1368,-,-,-,-,-
1369,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1370,-,-,-,-,-
1371,-,-,-,-,-
1372,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
1373,-,-,-,-,-
1374,-,-,-,-,-
1375,-,-,-,-,-
1376,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1377,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1378,2017 Hyundai Creta,"1,177,199","52,753 km",Diesel,Automatic
1379,-,-,-,-,-
1380,-,-,-,-,-
1381,-,-,-,-,-
1382,-,-,-,-,-
1383,2017 Maruti Ertiga,"789,299","4,724 km",Petrol,Manual
1384,2017 Maruti Baleno,"556,999","44,103 km",Petrol,Manual
1385,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1386,-,-,-,-,-
1387,-,-,-,-,-
1388,-,-,-,-,-
1389,-,-,-,-,-
1390,2016 Maruti Baleno,"619,699","25,529 km",Petrol,Manual
1391,-,-,-,-,-
1392,-,-,-,-,-
1393,-,-,-,-,-
1394,2020 Maruti S PRESSO,"428,299","25,867 km",Petrol,Manual
1395,2015 Hyundai Grand i10,"460,999","40,792 km",Petrol,Manual
1396,-,-,-,-,-
1397,-,-,-,-,-
1398,2017 Maruti Vitara Brezza,"768,599","95,064 km",Diesel,Manual
1399,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1400,-,-,-,-,-
1401,-,-,-,-,-
1402,-,-,-,-,-
1403,-,-,-,-,-
1404,2015 Maruti Swift,"476,599","60,507 km",Diesel,Manual
1405,-,-,-,-,-
1406,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
1407,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1408,-,-,-,-,-
1409,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1410,-,-,-,-,-
1411,-,-,-,-,-
1412,2014 Maruti Wagon R 1.0,"338,199","45,680 km",Petrol,Manual
1413,-,-,-,-,-
1414,-,-,-,-,-
1415,-,-,-,-,-
1416,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1417,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1418,2020 Hyundai Creta,"1,534,299","8,382 km",Petrol,Manual
1419,-,-,-,-,-
1420,-,-,-,-,-
1421,-,-,-,-,-
1422,-,-,-,-,-
1423,2017 Maruti Ertiga,"789,299","4,724 km",Petrol,Manual
1424,2018 Maruti Baleno,"604,699","31,020 km",Petrol,Manual
1425,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1426,-,-,-,-,-
1427,-,-,-,-,-
1428,-,-,-,-,-
1429,-,-,-,-,-
1430,2016 Maruti Baleno,"619,699","25,529 km",Petrol,Manual
1431,-,-,-,-,-
1432,-,-,-,-,-
1433,-,-,-,-,-
1434,2020 Maruti S PRESSO,"402,899","3,606 km",Petrol,Manual
1435,2017 Hyundai Grand i10,"478,999","78,139 km",Petrol,Manual
1436,-,-,-,-,-
1437,-,-,-,-,-
1438,2018 Maruti Vitara Brezza,"771,299","38,872 km",Diesel,Manual
1439,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1440,-,-,-,-,-
1441,-,-,-,-,-
1442,-,-,-,-,-
1443,-,-,-,-,-
1444,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
1445,-,-,-,-,-
1446,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
1447,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1448,-,-,-,-,-
1449,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1450,-,-,-,-,-
1451,-,-,-,-,-
1452,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
1453,-,-,-,-,-
1454,-,-,-,-,-
1455,-,-,-,-,-
1456,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1457,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1458,2018 Hyundai Creta,"1,154,099","71,967 km",Diesel,Manual
1459,-,-,-,-,-
1460,-,-,-,-,-
1461,-,-,-,-,-
1462,-,-,-,-,-
1463,2017 Maruti Ertiga,"693,399","69,917 km",Diesel,Manual
1464,2018 Maruti Baleno,"604,699","31,020 km",Petrol,Manual
1465,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1466,-,-,-,-,-
1467,-,-,-,-,-
1468,-,-,-,-,-
1469,-,-,-,-,-
1470,2016 Maruti Baleno,"619,699","25,529 km",Petrol,Manual
1471,-,-,-,-,-
1472,-,-,-,-,-
1473,-,-,-,-,-
1474,2020 Maruti S PRESSO,"402,899","3,606 km",Petrol,Manual
1475,2016 Hyundai Grand i10,"475,599","5,214 km",Petrol,Manual
1476,-,-,-,-,-
1477,-,-,-,-,-
1478,2017 Maruti Vitara Brezza,"768,599","95,064 km",Diesel,Manual
1479,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1480,-,-,-,-,-
1481,-,-,-,-,-
1482,-,-,-,-,-
1483,-,-,-,-,-
1484,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
1485,-,-,-,-,-
1486,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
1487,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1488,-,-,-,-,-
1489,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1490,-,-,-,-,-
1491,-,-,-,-,-
1492,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
1493,-,-,-,-,-
1494,-,-,-,-,-
1495,-,-,-,-,-
1496,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1497,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1498,2017 Hyundai Creta,"1,212,499","79,362 km",Diesel,Automatic
1499,-,-,-,-,-
1500,-,-,-,-,-
1501,-,-,-,-,-
1502,-,-,-,-,-
1503,2017 Maruti Ertiga,"708,899","36,002 km",Diesel,Manual
1504,2016 Maruti Baleno,"495,199","97,279 km",Petrol,Manual
1505,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1506,-,-,-,-,-
1507,-,-,-,-,-
1508,-,-,-,-,-
1509,-,-,-,-,-
1510,2019 Maruti Baleno,"596,499","27,884 km",Petrol,Manual
1511,-,-,-,-,-
1512,-,-,-,-,-
1513,-,-,-,-,-
1514,2020 Maruti S PRESSO,"402,899","3,606 km",Petrol,Manual
1515,2014 Hyundai Grand i10,"401,099","73,621 km",Petrol,Manual
1516,-,-,-,-,-
1517,-,-,-,-,-
1518,2017 Maruti Vitara Brezza,"768,599","95,064 km",Diesel,Manual
1519,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1520,-,-,-,-,-
1521,-,-,-,-,-
1522,-,-,-,-,-
1523,-,-,-,-,-
1524,2016 Maruti Swift Dzire,"525,299","80,593 km",Diesel,Manual
1525,-,-,-,-,-
1526,2014 Maruti Swift,"468,599","84,718 km",Diesel,Manual
1527,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1528,-,-,-,-,-
1529,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1530,-,-,-,-,-
1531,-,-,-,-,-
1532,2016 Maruti Wagon R 1.0,"351,899","81,832 km",Petrol,Manual
1533,-,-,-,-,-
1534,-,-,-,-,-
1535,-,-,-,-,-
1536,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1537,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1538,2020 Hyundai Creta,"1,556,699","8,382 km",Petrol,Manual
1539,-,-,-,-,-
1540,-,-,-,-,-
1541,-,-,-,-,-
1542,-,-,-,-,-
1543,2016 Maruti Ertiga,"768,899","45,759 km",Diesel,Manual
1544,2017 Maruti Baleno,"527,699","41,383 km",Petrol,Manual
1545,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1546,-,-,-,-,-
1547,-,-,-,-,-
1548,-,-,-,-,-
1549,-,-,-,-,-
1550,2018 Maruti Baleno,"592,299","22,287 km",Petrol,Manual
1551,-,-,-,-,-
1552,-,-,-,-,-
1553,-,-,-,-,-
1554,2020 Maruti S PRESSO,"428,299","25,867 km",Petrol,Manual
1555,2014 Hyundai Grand i10,"401,099","73,621 km",Petrol,Manual
1556,-,-,-,-,-
1557,-,-,-,-,-
1558,2016 Maruti Vitara Brezza,"666,199","73,701 km",Diesel,Manual
1559,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1560,-,-,-,-,-
1561,-,-,-,-,-
1562,-,-,-,-,-
1563,-,-,-,-,-
1564,2015 Maruti Swift Dzire,"578,399","38,769 km",Diesel,Manual
1565,-,-,-,-,-
1566,2013 Maruti Swift,"354,799","76,608 km",Diesel,Manual
1567,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1568,-,-,-,-,-
1569,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1570,-,-,-,-,-
1571,-,-,-,-,-
1572,2016 Maruti Wagon R 1.0,"361,299","54,511 km",Petrol,Manual
1573,-,-,-,-,-
1574,-,-,-,-,-
1575,-,-,-,-,-
1576,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1577,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1578,2018 Hyundai Creta,"1,154,099","71,967 km",Diesel,Manual
1579,-,-,-,-,-
1580,-,-,-,-,-
1581,-,-,-,-,-
1582,-,-,-,-,-
1583,2016 Maruti Ertiga,"768,899","45,759 km",Diesel,Manual
1584,2017 Maruti Baleno,"537,599","60,422 km",Diesel,Manual
1585,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1586,-,-,-,-,-
1587,-,-,-,-,-
1588,-,-,-,-,-
1589,-,-,-,-,-
1590,2020 Maruti Baleno,"631,999","7,237 km",Petrol,Manual
1591,-,-,-,-,-
1592,-,-,-,-,-
1593,-,-,-,-,-
1594,2019 Maruti S PRESSO,"403,499","18,436 km",Petrol,Manual
1595,2016 Hyundai Grand i10,"467,699","31,884 km",Petrol,Manual
1596,-,-,-,-,-
1597,-,-,-,-,-
1598,2016 Maruti Vitara Brezza,"666,199","73,701 km",Diesel,Manual
1599,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1600,-,-,-,-,-
1601,-,-,-,-,-
1602,-,-,-,-,-
1603,-,-,-,-,-
1604,2015 Maruti Swift Dzire,"578,399","38,769 km",Diesel,Manual
1605,-,-,-,-,-
1606,2014 Maruti Swift,"370,399","61,013 km",Diesel,Manual
1607,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1608,-,-,-,-,-
1609,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1610,-,-,-,-,-
1611,-,-,-,-,-
1612,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
1613,-,-,-,-,-
1614,-,-,-,-,-
1615,-,-,-,-,-
1616,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1617,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1618,2020 Hyundai Creta,"1,556,699","8,382 km",Petrol,Manual
1619,-,-,-,-,-
1620,-,-,-,-,-
1621,-,-,-,-,-
1622,-,-,-,-,-
1623,2016 Maruti Ertiga,"774,199","99,644 km",Diesel,Manual
1624,2017 Maruti Baleno,"527,699","41,383 km",Petrol,Manual
1625,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1626,-,-,-,-,-
1627,-,-,-,-,-
1628,-,-,-,-,-
1629,-,-,-,-,-
1630,2018 Maruti Baleno,"592,299","22,287 km",Petrol,Manual
1631,-,-,-,-,-
1632,-,-,-,-,-
1633,-,-,-,-,-
1634,2020 Maruti S PRESSO,"428,299","25,867 km",Petrol,Manual
1635,2015 Hyundai Grand i10,"460,999","40,792 km",Petrol,Manual
1636,-,-,-,-,-
1637,-,-,-,-,-
1638,2016 Maruti Vitara Brezza,"666,199","73,701 km",Diesel,Manual
1639,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1640,-,-,-,-,-
1641,-,-,-,-,-
1642,-,-,-,-,-
1643,-,-,-,-,-
1644,2015 Maruti Swift,"462,899","63,600 km",Diesel,Manual
1645,-,-,-,-,-
1646,2013 Maruti Swift,"354,799","76,608 km",Diesel,Manual
1647,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1648,-,-,-,-,-
