,name,selling_price,km_driven,fuel,transmission
686,2016 Maruti Swift,"497,999","72,625 km",Petrol,Manual
687,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
688,-,-,-,-,-
689,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
690,-,-,-,-,-
691,-,-,-,-,-
692,2014 Maruti Wagon R 1.0,"338,199","45,680 km",Petrol,Manual
693,-,-,-,-,-
694,-,-,-,-,-
695,-,-,-,-,-
696,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
697,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
698,2018 Hyundai Creta,"1,154,099","71,967 km",Diesel,Manual
699,-,-,-,-,-
700,-,-,-,-,-
701,-,-,-,-,-
702,-,-,-,-,-
703,-,-,-,-,-
704,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
705,-,-,-,-,-
706,2015 Maruti Swift,"464,999","26,749 km",Petrol,Manual
707,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
708,-,-,-,-,-
709,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
710,-,-,-,-,-
711,-,-,-,-,-
712,2014 Maruti Wagon R 1.0,"338,199","45,680 km",Petrol,Manual
713,-,-,-,-,-
714,-,-,-,-,-
715,-,-,-,-,-
716,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
717,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
718,2020 Hyundai Creta,"1,534,299","8,382 km",Petrol,Manual
719,-,-,-,-,-
720,-,-,-,-,-
721,-,-,-,-,-
722,-,-,-,-,-
723,-,-,-,-,-
724,2015 Maruti Swift Dzire,"578,399","38,769 km",Diesel,Manual
725,-,-,-,-,-
726,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
727,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
728,-,-,-,-,-
729,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
730,-,-,-,-,-
731,-,-,-,-,-
732,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
733,-,-,-,-,-
734,-,-,-,-,-
735,-,-,-,-,-
